; 11/28/95		14:29:18
	db	DRAGON_TYPE
	db	045			; obtain ratio
	db	144			; experience value
	db	066h			; Monster yx size
	dw	monschr89		; BitImage data (front)
	dw	monschr89b		; BitImage data (back)
	db	035			; skill 1
	db	043			; skill 2
	db	086			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	11100000b, 00111111b, 11001000b, 11000001b
	db	11100011b, 00011000b, 00010010b, 00000000b

mons149$:
	db	149			; old number = 066
	db	091			; hit point(max)
	db	134			; attack point
	db	095			; defence ratio
	db	080			; quick ratio
	db	100			; special ability
	db	DRAGON_TYPE
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	218			; experience value
	db	077h			; Monster yx size
	dw	monschr66		; BitImage data (front)
	dw	monschr66b		; BitImage data (back)
	db	035			; skill 1
	db	043			; skill 2
	db	086			; skill 3
	db	097			; skill 4
	db	005			; pttern of experience
	db	11100010b, 01111111b, 11001000b, 11000001b
	db	11100011b, 00011000b, 00110010b, 00000000b

mons150$:
	db	150			; old number = 131
	db	106			; hit point(max)
	db	110			; attack point
	db	090			; defence ratio
	db	130			; quick ratio
	db	154			; special ability
	db	SP_TYPE
	db	SP_TYPE
	db	003			; obtain ratio
	db	220			; experience value
	db	077h			; Monster yx size
	dw	monschr131		; BitImage data (front)
	dw	monschr131b		; BitImage data (back)
	db	093			; skill 1
	db	050			; skill 2
	db	129			; skill 3
	db	094			; skill 4
	db	005			; pttern of experience
	db	10110001b, 11111111b, 10101111b, 11110001b
	db	10101111b, 00111000b, 01100011b, 00000000b

